"Question","Réponse 1","Réponse 2","Réponse 3","Réponse 4","Bonne réponse"
"Quelle pâtisserie est formée d’un petit chou posé sur un plus grand, tous deux garnis et glacés ?","Mille-feuille","Religieuse","Clafoutis","Opéra","Religieuse"
"Quelle pâtisserie porte le nom d’un empereur ?","Napoléon","Saint-Honoré","Paris-Brest","Trianon","Napoléon"
"Quelle est la particularité du Paris-Brest ?","Il est à la pistache","Il est en forme de roue","Il contient du citron","Il est glacé","Il est en forme de roue"
"Quel fruit est utilisé dans une tarte Bourdaloue ?","Poire","Pomme","Framboise","Cerise","Poire"
"Quelle pâtisserie est originaire de Bordeaux ?","Cannelé","Macaron","Financier","Baba au rhum","Cannelé"
"Quelle pâte utilise-t-on pour une galette des rois ?","Pâte brisée","Pâte à choux","Pâte feuilletée","Pâte sablée","Pâte feuilletée"
"De quoi est composée la garniture d’un éclair au chocolat ?","Crème chantilly","Crème pâtissière au chocolat","Mousse au chocolat","Ganache","Crème pâtissière au chocolat"
"Quelle pâtisserie est roulée puis tranchée ?","Charlotte","Bûche de Noël","Roulé à la confiture","Tarte aux pommes","Roulé à la confiture"
"Quel dessert glacé contient des meringues et de la crème glacée ?","Vacherin","Tiramisu","Opéra","Profiterole","Vacherin"
"Quel gâteau est souvent servi pour les anniversaires ?","Forêt noire","Tarte Tatin","Clafoutis","Fraisier","Forêt noire"
